guest_id,guest_name,nationality,preferred_language,loyalty_level,is_returning_guest
G00172,Sophie Kaya,British,English,5,0
G00173,Jack Öztürk,British,English,4,0
G00174,Max Taylor,German,German,4,0
G00175,Ayşe Müller,Turkish,Turkish,4,0
G00176,Laura Petrov,German,German,3,0
G00177,Alice Weber,French,French,3,0
G00178,Max Kaya,German,German,1,0
G00179,Elif Taylor,Turkish,Turkish,3,0
G00180,Jack Ivanov,British,English,3,0
G00181,Mert Ivanov,Turkish,Turkish,3,1
G00182,James Öztürk,British,English,3,0
G00183,Mia Petrov,German,German,3,0
G00184,Sofia Müller,Russian,Russian,5,0
G00185,Grace Dubois,British,English,3,0
G00186,Oliver Weber,British,English,5,0
G00187,Ahmet Ivanov,Turkish,Turkish,3,0
G00188,Emma Dubois,German,German,5,0
G00189,Sophie Schmidt,British,English,2,0
G00190,Buse Taylor,Turkish,Turkish,4,0
G00191,Mert Weber,Turkish,Turkish,3,0
G00192,Mert Wilson,Turkish,Turkish,1,0
G00193,Felix Demir,German,German,4,1
G00194,Can Müller,Turkish,Turkish,3,0
G00195,Mert Smirnov,Turkish,Turkish,4,0
G00196,Mert Ivanov,Turkish,Turkish,3,0
G00197,Emma Wilson,British,English,2,0
G00198,Jack Martin,British,English,3,0
G00199,Sophie Schmidt,German,German,3,0
G00200,Emily Smith,British,English,3,0
G00201,Harry Kaya,British,English,3,0
G00202,Paul Smirnov,German,German,1,0
G00203,Mert Dubois,Turkish,Turkish,3,0
G00204,Emma Weber,British,English,5,0
G00205,Felix Smirnov,German,German,4,0
G00206,Laura Taylor,German,German,4,0
G00207,Emily Taylor,British,English,3,0
G00208,Irina Yılmaz,Russian,Russian,4,0
G00209,Ayşe Kaya,Turkish,Turkish,5,0
G00210,Sofia Kaya,Russian,Russian,1,1
G00211,Zeynep Jones,Turkish,Turkish,3,0
G00212,Emily Smirnov,British,English,5,0
G00213,Elif Kaya,Turkish,Turkish,3,0
G00214,Emre Schmidt,Turkish,Turkish,4,0
G00215,Mia Petrov,German,German,2,0
G00216,Ahmet Wilson,Turkish,Turkish,2,0
G00217,Hugo Demir,French,French,3,0
G00218,George Brown,British,English,3,0
G00219,Mehmet Jones,Turkish,Turkish,3,1
G00220,George Jones,British,English,2,1
G00221,Mert Jones,Turkish,Turkish,3,0
G00222,Mert Demir,Turkish,Turkish,2,0
G00223,Emily Jones,British,English,2,1
G00224,Sophie Martin,British,English,4,0
G00225,Elif Schmidt,Turkish,Turkish,3,0
G00226,Ahmet Kaya,Turkish,Turkish,2,0
G00227,Zeynep Schmidt,Turkish,Turkish,2,0
G00228,Buse Wilson,Turkish,Turkish,2,0
G00229,Ece Smith,Turkish,Turkish,3,0
G00230,Leon Müller,German,German,2,0
G00231,Emma Müller,British,English,2,0
G00232,Mia Kaya,German,German,3,0
G00233,Zeynep Schmidt,Turkish,Turkish,5,0
G00234,Zeynep Öztürk,Turkish,Turkish,3,0
G00235,George Ivanov,British,English,5,0
G00236,George Smirnov,British,English,1,0
G00237,James Müller,British,English,5,0
G00238,Emre Smirnov,Turkish,Turkish,3,0
G00239,Ece Yılmaz,Turkish,Turkish,5,0
G00240,Felix Müller,German,German,3,0
G00241,Harry Smirnov,British,English,2,0
G00242,Ahmet Kaya,Turkish,Turkish,2,0
G00243,Emma Brown,German,German,2,0
G00244,James Smirnov,British,English,3,0
G00245,Zeynep Dubois,Turkish,Turkish,2,0
G00246,Harry Smith,British,English,3,0
G00247,Sophie Smith,German,German,2,0
G00248,Ece Ivanov,Turkish,Turkish,1,0
G00249,Can Wilson,Turkish,Turkish,3,0
G00250,Buse Brown,Turkish,Turkish,1,0
G00251,Can Wilson,Turkish,Turkish,3,0
G00252,Jack Kaya,British,English,4,0
G00253,Can Martin,Turkish,Turkish,3,0
G00254,Mert Smirnov,Turkish,Turkish,3,0
G00255,Zeynep Demir,Turkish,Turkish,1,0
G00256,Mehmet Şahin,Turkish,Turkish,2,0
G00257,Elif Smith,Turkish,Turkish,3,0
G00258,Louis Kaya,French,French,2,0
G00259,Jack Wilson,British,English,4,0
G00260,Leon Ivanov,German,German,2,1
G00261,Ayşe Yılmaz,Turkish,Turkish,3,0
G00262,Lukas Wilson,German,German,2,0
G00263,George Smirnov,British,English,3,0
G00264,Elif Ivanov,Turkish,Turkish,3,0
G00265,Can Smirnov,Turkish,Turkish,4,0
G00266,Ayşe Yılmaz,Turkish,Turkish,2,0
G00267,Mert Jones,Turkish,Turkish,2,0
G00268,Ece Schmidt,Turkish,Turkish,2,0
G00269,Grace Demir,British,English,3,0
G00270,Ahmet Dubois,Turkish,Turkish,3,0
G00271,Leon Taylor,German,German,3,0
G00272,Buse Kaya,Turkish,Turkish,2,0
G00273,Olivia Smith,British,English,3,0
G00274,James Kaya,British,English,4,0
G00275,Zeynep Demir,Turkish,Turkish,5,0
G00276,Emma Öztürk,German,German,1,0
G00277,Ahmet Dubois,Turkish,Turkish,2,0
G00278,Buse Brown,Turkish,Turkish,5,0
G00279,Laura Petrov,German,German,3,0
G00280,Elif Petrov,Turkish,Turkish,3,0
G00281,Elif Brown,Turkish,Turkish,2,0
G00282,Felix Weber,German,German,4,0
G00283,Ahmet Ivanov,Turkish,Turkish,4,0
G00284,Zeynep Yılmaz,Turkish,Turkish,4,1
G00285,Olga Şahin,Russian,Russian,4,0
G00286,Can Kaya,Turkish,Turkish,3,0
G00287,Can Müller,Turkish,Turkish,3,0
G00288,Emre Schmidt,Turkish,Turkish,3,0
G00289,George Smith,British,English,2,0
G00290,Elif Martin,Turkish,Turkish,4,0
G00291,Can Jones,Turkish,Turkish,2,0
G00292,Emre Kaya,Turkish,Turkish,3,1
G00293,Zeynep Öztürk,Turkish,Turkish,2,0
G00294,Grace Jones,British,English,3,0
G00295,Mehmet Jones,Turkish,Turkish,5,0
G00296,Emma Petrov,British,English,3,0
G00297,Mehmet Öztürk,Turkish,Turkish,4,0
G00298,Grace Martin,British,English,4,0
G00299,Olivia Wilson,British,English,5,0
G00300,Can Jones,Turkish,Turkish,2,0
G00301,Max Petrov,German,German,3,0
G00302,Ece Şahin,Turkish,Turkish,3,0
G00303,Felix Dubois,German,German,3,0
G00304,Mert Brown,Turkish,Turkish,2,0
G00305,Oliver Jones,British,English,2,0
G00306,Grace Jones,British,English,2,0
G00307,Zeynep Kaya,Turkish,Turkish,2,0
G00308,Camille Smirnov,French,French,3,0
G00309,Sophie Demir,British,English,3,1
G00310,Max Dubois,German,German,3,0
G00311,Ece Wilson,Turkish,Turkish,3,0
G00312,Sophie Petrov,British,English,2,0
G00313,Chloe Öztürk,French,French,4,1
G00314,Ece Weber,Turkish,Turkish,3,0
G00315,Emily Şahin,British,English,3,1
G00316,Lukas Jones,German,German,4,0
G00317,Maria Smirnov,Russian,Russian,4,0
G00318,Leon Brown,German,German,2,0
G00319,Leon Taylor,German,German,4,0
G00320,Zeynep Demir,Turkish,Turkish,3,0
G00321,Ayşe Dubois,Turkish,Turkish,2,0
G00322,Emre Yılmaz,Turkish,Turkish,2,0
G00323,Ayşe Brown,Turkish,Turkish,2,0
G00324,Nikolai Taylor,Russian,Russian,3,0
G00325,Elif Petrov,Turkish,Turkish,2,0
G00326,Ece Yılmaz,Turkish,Turkish,4,0
G00327,Harry Öztürk,British,English,5,0
G00328,Sophie Yılmaz,British,English,3,0
G00329,George Şahin,British,English,1,0
G00330,Paul Brown,German,German,3,0
G00331,Oliver Schmidt,British,English,4,0
G00332,Ayşe Jones,Turkish,Turkish,4,0
G00333,Ece Martin,Turkish,Turkish,4,0
G00334,Ece Jones,Turkish,Turkish,3,0
G00335,Ece Öztürk,Turkish,Turkish,5,0
G00336,Buse Smirnov,Turkish,Turkish,5,0
G00337,Ece Wilson,Turkish,Turkish,2,0
G00338,Felix Weber,German,German,3,0
G00339,Max Öztürk,German,German,4,0
G00340,Can Weber,Turkish,Turkish,2,0
G00341,Zeynep Dubois,Turkish,Turkish,2,0
G00342,Zeynep Martin,Turkish,Turkish,4,0
G00343,Felix Petrov,German,German,5,0
G00344,Emily Martin,British,English,4,0
G00345,Emma Jones,British,English,2,0
G00346,Manon Ivanov,French,French,5,1
G00347,Buse Dubois,Turkish,Turkish,5,0
G00348,Mert Smith,Turkish,Turkish,3,0
G00349,George Petrov,British,English,4,0
G00350,Emily Martin,British,English,4,0
G00351,Grace Yılmaz,British,English,2,1
G00352,Mehmet Brown,Turkish,Turkish,4,0
G00353,Mehmet Wilson,Turkish,Turkish,2,0
G00354,Mert Müller,Turkish,Turkish,3,1
G00355,Buse Smirnov,Turkish,Turkish,3,0
G00356,Ahmet Ivanov,Turkish,Turkish,4,0
G00357,Buse Ivanov,Turkish,Turkish,3,0
G00358,Emre Ivanov,Turkish,Turkish,1,0
G00359,Olivia Brown,British,English,1,0
G00360,Lukas Müller,German,German,2,0
G00361,Ahmet Şahin,Turkish,Turkish,4,0
G00362,Olivia Yılmaz,British,English,3,0
G00363,Buse Brown,Turkish,Turkish,2,0
G00364,Lea Jones,French,French,2,0
G00365,Max Smith,German,German,3,0
G00366,Harry Smith,British,English,5,0
G00367,Hugo Petrov,French,French,4,0
G00368,Zeynep Smirnov,Turkish,Turkish,5,0
G00369,Ece Wilson,Turkish,Turkish,3,0
G00370,Elif Jones,Turkish,Turkish,2,0
G00371,Emily Brown,British,English,4,0
G00372,Buse Yılmaz,Turkish,Turkish,5,0
G00373,Emre Wilson,Turkish,Turkish,4,0
G00374,Zeynep Brown,Turkish,Turkish,2,0
G00375,Ayşe Şahin,Turkish,Turkish,3,0
G00376,Emily Ivanov,British,English,3,0
G00377,Mia Smirnov,German,German,4,0
G00378,Mehmet Müller,Turkish,Turkish,4,0
G00379,Emily Ivanov,British,English,2,0
G00380,Olivia Smith,British,English,3,0
G00381,Grace Ivanov,British,English,4,0
G00382,Ayşe Martin,Turkish,Turkish,3,0
G00383,Louis Demir,French,French,1,0
G00384,Anna Ivanov,German,German,3,0
G00385,Ayşe Smith,Turkish,Turkish,4,0
G00386,Jack Schmidt,British,English,2,0
G00387,George Ivanov,British,English,3,0
G00388,Lea Demir,French,French,4,0
G00389,Buse Brown,Turkish,Turkish,4,0
G00390,Emre Brown,Turkish,Turkish,5,0
G00391,Emma Şahin,British,English,2,0
G00392,Ayşe Yılmaz,Turkish,Turkish,3,0
G00393,George Jones,British,English,2,0
G00394,Leon Smith,German,German,4,0
G00395,Ece Martin,Turkish,Turkish,2,0
G00396,George Öztürk,British,English,5,0
G00397,Sophie Smirnov,British,English,2,0
G00398,Lukas Schmidt,German,German,1,0
G00399,Ece Smith,Turkish,Turkish,2,0
G00400,Sophie Schmidt,German,German,5,0
G00401,Jack Demir,British,English,1,0
G00402,Can Jones,Turkish,Turkish,1,0
G00403,James Martin,British,English,2,0
G00404,Ayşe Schmidt,Turkish,Turkish,1,0
G00405,Oliver Yılmaz,British,English,3,0
G00406,Mert Jones,Turkish,Turkish,3,0
G00407,Emre Şahin,Turkish,Turkish,2,0
G00408,James Şahin,British,English,3,0
G00409,Anna Ivanov,German,German,3,0
G00410,Harry Dubois,British,English,2,0
G00411,Zeynep Martin,Turkish,Turkish,4,0
G00412,Emma Wilson,French,French,2,0
G00413,James Jones,British,English,4,0
G00414,James Weber,British,English,5,0
G00415,Zeynep Dubois,Turkish,Turkish,3,0
G00416,Emma Öztürk,German,German,1,1
G00417,Buse Brown,Turkish,Turkish,5,0
G00418,Ahmet Schmidt,Turkish,Turkish,3,0
G00419,Ayşe Dubois,Turkish,Turkish,3,0
G00420,Ahmet Smith,Turkish,Turkish,3,0
G00421,Elif Öztürk,Turkish,Turkish,4,0
G00422,Zeynep Petrov,Turkish,Turkish,4,0
G00423,Olivia Smith,British,English,4,0
G00424,George Dubois,British,English,4,0
G00425,Ece Martin,Turkish,Turkish,3,0
G00426,Emre Smirnov,Turkish,Turkish,1,0
G00427,Ahmet Brown,Turkish,Turkish,4,1
G00428,Olivia Smirnov,British,English,3,1
G00429,Ayşe Taylor,Turkish,Turkish,1,0
G00430,Grace Şahin,British,English,3,0
G00431,Max Müller,German,German,4,0
G00432,Olivia Smirnov,British,English,2,0
G00433,Oliver Yılmaz,British,English,3,0
G00434,Grace Öztürk,British,English,3,0
G00435,Ece Dubois,Turkish,Turkish,3,0
G00436,Elif Müller,Turkish,Turkish,2,0
G00437,Mia Dubois,German,German,2,0
G00438,Sophie Smirnov,German,German,4,1
G00439,Ece Petrov,Turkish,Turkish,1,1
G00440,Can Jones,Turkish,Turkish,5,0
G00441,Harry Smirnov,British,English,2,0
G00442,Mehmet Müller,Turkish,Turkish,3,0
G00443,Oliver Müller,British,English,3,0
G00444,Ayşe Smith,Turkish,Turkish,5,0
G00445,Elif Ivanov,Turkish,Turkish,3,0
G00446,Ahmet Şahin,Turkish,Turkish,3,0
G00447,Emma Dubois,German,German,3,0
G00448,Emre Weber,Turkish,Turkish,2,0
G00449,Sophie Martin,British,English,4,0
G00450,Harry Kaya,British,English,4,0
G00451,Harry Yılmaz,British,English,4,0
G00452,James Demir,British,English,3,0
G00453,Felix Petrov,German,German,1,0
G00454,Emma Weber,German,German,3,0
G00455,Ece Smirnov,Turkish,Turkish,2,0
G00456,Ece Şahin,Turkish,Turkish,3,0
G00457,Emma Demir,German,German,3,0
G00458,Elif Müller,Turkish,Turkish,1,0
G00459,George Şahin,British,English,2,0
G00460,Lukas Weber,German,German,3,0
G00461,Jack Smirnov,British,English,4,0
G00462,Ece Wilson,Turkish,Turkish,2,1
G00463,Sophie Ivanov,German,German,3,0
G00464,Harry Demir,British,English,2,1
G00465,Mert Taylor,Turkish,Turkish,3,0
G00466,Ahmet Müller,Turkish,Turkish,4,0
G00467,George Jones,British,English,3,0
G00468,Ece Smirnov,Turkish,Turkish,3,0
G00469,Mehmet Kaya,Turkish,Turkish,3,0
G00470,George Demir,British,English,4,0
G00471,Laura Ivanov,German,German,4,0
G00472,George Weber,British,English,2,0
G00473,George Brown,British,English,2,1
G00474,Lukas Smith,German,German,1,0
G00475,Oliver Jones,British,English,1,0
G00476,Emre Smith,Turkish,Turkish,2,0
G00477,Hugo Taylor,French,French,5,0
G00478,Paul Demir,German,German,3,0
G00479,Mehmet Jones,Turkish,Turkish,3,0
G00480,Mehmet Martin,Turkish,Turkish,2,0
G00481,Chloe Wilson,French,French,2,0
G00482,Mehmet Demir,Turkish,Turkish,4,0
G00483,Louis Wilson,French,French,3,0
G00484,Ayşe Smirnov,Turkish,Turkish,3,1
G00485,Mert Weber,Turkish,Turkish,3,1
G00486,George Smith,British,English,3,0
G00487,Grace Brown,British,English,2,0
G00488,Manon Brown,French,French,4,0
G00489,Harry Öztürk,British,English,3,0
G00490,Can Demir,Turkish,Turkish,2,0
G00491,Emma Şahin,British,English,5,0
G00492,Emma Martin,British,English,1,0
G00493,Can Petrov,Turkish,Turkish,3,0
G00494,Buse Weber,Turkish,Turkish,1,0
G00495,Can Schmidt,Turkish,Turkish,2,0
G00496,Jack Kaya,British,English,4,0
G00497,Zeynep Müller,Turkish,Turkish,5,0
G00498,Can Martin,Turkish,Turkish,2,0
G00499,Mert Petrov,Turkish,Turkish,5,0
G00500,Emre Demir,Turkish,Turkish,5,0
G00501,Ece Kaya,Turkish,Turkish,1,0
G00502,Emre Taylor,Turkish,Turkish,4,0
G00503,Can Kaya,Turkish,Turkish,3,0
G00504,George Öztürk,British,English,4,0
G00505,Mert Demir,Turkish,Turkish,2,0
G00506,Manon Dubois,French,French,4,0
G00507,Elif Dubois,Turkish,Turkish,3,0
G00508,Mehmet Müller,Turkish,Turkish,5,0
G00509,Zeynep Kaya,Turkish,Turkish,2,0
G00510,Zeynep Müller,Turkish,Turkish,3,0
G00511,Ece Wilson,Turkish,Turkish,2,0
G00512,Camille Smirnov,French,French,1,0
G00513,Grace Demir,British,English,2,0
G00514,Leon Şahin,German,German,3,0
G00515,Olivia Weber,British,English,3,0
G00516,Jack Yılmaz,British,English,3,0
G00517,Anna Taylor,German,German,2,0
G00518,Emma Petrov,French,French,5,0
G00519,Ayşe Martin,Turkish,Turkish,2,0
G00520,Buse Petrov,Turkish,Turkish,2,0
G00521,Max Taylor,German,German,3,0
G00522,Buse Schmidt,Turkish,Turkish,2,0
G00523,Grace Smirnov,British,English,2,0
G00524,Max Weber,German,German,4,0
G00525,George Yılmaz,British,English,3,0
G00526,Lucas Yılmaz,French,French,2,0
G00527,Mert Weber,Turkish,Turkish,3,0
G00528,Emre Müller,Turkish,Turkish,1,0
G00529,Buse Dubois,Turkish,Turkish,4,0
G00530,Mert Dubois,Turkish,Turkish,2,1
G00531,Ahmet Müller,Turkish,Turkish,2,0
G00532,Buse Şahin,Turkish,Turkish,4,0
G00533,Buse Yılmaz,Turkish,Turkish,3,0
G00534,Buse Smirnov,Turkish,Turkish,3,0
G00535,Mehmet Dubois,Turkish,Turkish,2,0
G00536,Mehmet Dubois,Turkish,Turkish,2,0
G00537,Ayşe Yılmaz,Turkish,Turkish,4,1
G00538,Lea Schmidt,French,French,4,0
G00539,Mehmet Martin,Turkish,Turkish,2,0
G00540,Ayşe Ivanov,Turkish,Turkish,2,0
G00541,Zeynep Weber,Turkish,Turkish,1,0
G00542,Irina Brown,Russian,Russian,2,0
G00543,Grace Taylor,British,English,3,1
G00544,Emma Schmidt,German,German,3,0
G00545,Sophie Müller,British,English,2,0
G00546,Zeynep Jones,Turkish,Turkish,2,0
G00547,George Schmidt,British,English,4,0
G00548,Can Dubois,Turkish,Turkish,5,0
G00549,Jack Wilson,British,English,4,0
G00550,Mehmet Müller,Turkish,Turkish,2,0
G00551,Emma Petrov,British,English,4,0
G00552,Hugo Şahin,French,French,2,0
G00553,Anna Ivanov,German,German,5,0
G00554,Emily Jones,British,English,2,0
G00555,Lukas Demir,German,German,3,0
G00556,Laura Schmidt,German,German,2,0
G00557,Ahmet Brown,Turkish,Turkish,2,0
G00558,Can Jones,Turkish,Turkish,2,1
G00559,Ahmet Demir,Turkish,Turkish,4,0
G00560,Emre Şahin,Turkish,Turkish,1,0
G00561,Ayşe Schmidt,Turkish,Turkish,3,1
G00562,Grace Yılmaz,British,English,4,0
G00563,Zeynep Brown,Turkish,Turkish,2,0
G00564,Emily Brown,British,English,2,0
G00565,Zeynep Öztürk,Turkish,Turkish,3,0
G00566,George Kaya,British,English,4,0
G00567,Oliver Jones,British,English,1,0
G00568,Grace Wilson,British,English,5,0
G00569,Elif Dubois,Turkish,Turkish,3,0
G00570,Emma Müller,British,English,2,0
G00571,Gabriel Kaya,French,French,3,0
G00572,Sophie Wilson,British,English,2,0
G00573,Mehmet Kaya,Turkish,Turkish,3,0
G00574,George Öztürk,British,English,1,0
G00575,Harry Öztürk,British,English,2,0
G00576,Camille Yılmaz,French,French,2,0
G00577,Buse Weber,Turkish,Turkish,2,0
G00578,Can Schmidt,Turkish,Turkish,5,1
G00579,Jack Weber,British,English,5,0
G00580,Sophie Jones,British,English,4,1
G00581,Emma Ivanov,French,French,2,0
G00582,Oliver Brown,British,English,2,0
G00583,Mehmet Demir,Turkish,Turkish,4,0
G00584,Laura Petrov,German,German,2,0
G00585,Olivia Şahin,British,English,4,0
G00586,Buse Şahin,Turkish,Turkish,3,0
G00587,Zeynep Öztürk,Turkish,Turkish,2,0
G00588,Buse Dubois,Turkish,Turkish,2,0
G00589,Harry Smirnov,British,English,2,0
G00590,Paul Demir,German,German,1,0
G00591,Olivia Martin,British,English,3,0
G00592,Ayşe Weber,Turkish,Turkish,4,0
G00593,Paul Dubois,German,German,4,0
G00594,James Jones,British,English,4,0
G00595,Elif Demir,Turkish,Turkish,3,1
G00596,Zeynep Dubois,Turkish,Turkish,3,0
G00597,George Wilson,British,English,2,0
G00598,Oliver Demir,British,English,4,0
G00599,Emre Taylor,Turkish,Turkish,5,0
G00600,Ayşe Schmidt,Turkish,Turkish,4,0
